title,genres,Awful,Bad,Average,Good,Excellent
Garfield's Pet Force (2009),Animation,0,0,0,0,1
"Gate, The (1987)",Horror,0,0,1,0,0
"Gauntlet, The (1977)",Action,0,0,1,1,0
"General, The (1998)",Crime,0,0,0,2,0
Genghis Blues (1999),Documentary,0,0,0,1,0
Genius (2016),Drama,0,0,1,0,0
Genius Party (2007),Animation,0,0,1,0,0
Gentleman's Agreement (1947),Drama,0,0,0,1,0
Gentlemen Broncos (2009),Comedy,1,0,0,1,0
George Carlin: Back in Town (1996),Comedy,0,0,0,0,1
George Carlin: It's Bad for Ya! (2008),Comedy,0,0,0,0,1
George Carlin: Jammin' in New York (1992),Comedy,0,0,0,0,1
George Carlin: Life Is Worth Losing (2005),Comedy,0,0,0,0,1
George Carlin: You Are All Diseased (1999),Comedy,0,0,0,0,1
George Harrison: Living in the Material World (2011),Documentary,0,0,0,1,0
George Washington (2000),Drama,0,2,0,0,0
Georgia (1995),Drama,0,0,0,1,0
Georgy Girl (1966),Comedy,0,0,0,1,0
Geostorm (2017),Action,0,1,0,0,0
Get Him to the Greek (2010),Comedy,0,1,1,6,2
Get Me Roger Stone (2017),Documentary,0,0,1,0,0
Get Out (2017),Horror,0,1,6,3,5
Get a Job (2016),Comedy,0,0,1,1,0
Get on the Bus (1996),Drama,0,1,0,0,0
Getting Even with Dad (1994),Comedy,0,1,2,0,0
Ghost Graduation (2012),Comedy,0,0,0,0,1
Ghost Ship (2002),Horror,2,1,3,3,0
Ghosts of Mississippi (1996),Drama,0,1,0,2,0
Gidget (1959),Comedy,0,0,0,1,0
"Gift, The (2000)",Thriller,1,1,8,3,0
Gifted (2017),Drama,0,0,0,3,1
Gigantic (A Tale of Two Johns) (2002),Documentary,0,0,1,1,2
Gigi (1949),Comedy,0,0,1,0,1
Gigi (1958),Musical,0,1,3,0,2
Gimme Danger (2016),Documentary,0,1,0,0,0
"Girl, Interrupted (1999)",Drama,0,1,10,14,3
Girlfight (2000),Drama,0,1,0,5,0
Girls About Town (1931),Comedy,0,0,0,0,1
Girls Just Want to Have Fun (1985),Comedy,0,0,2,1,0
"Glass House, The (2001)",Thriller,0,0,2,0,0
"Glass Menagerie, The (1987)",Drama,0,1,0,1,0
"Gleaners & I, The (Les glaneurs et la glaneuse) (2000)",Documentary,0,0,0,1,0
Glen or Glenda (1953),Drama,0,0,0,1,0
Glengarry Glen Ross (1992),Drama,0,2,4,6,3
"Glenn Miller Story, The (1953)",Drama,0,0,0,1,0
Glory Daze (1995),Drama,0,0,0,1,0
Glory Road (2006),Drama,0,0,1,0,1
Go for Zucker! (Alles auf Zucker!) (2004),Comedy,0,0,0,0,1
Goal! The Dream Begins (Goal!) (2005),Drama,0,0,0,1,1
Goat (2016),Drama,0,0,1,0,0
God Loves Caviar (2012),Adventure,0,1,0,0,0
God's Not Dead (2014),Drama,1,0,0,0,0
"Gods Must Be Crazy II, The (1989)",Comedy,0,0,3,1,2
Gods and Monsters (1998),Drama,0,0,0,3,1
Going Clear: Scientology and the Prison of Belief (2015),Documentary,0,0,0,1,1
Gold Diggers of 1933 (1933),Musical,0,0,0,1,0
"Golden Bowl, The (2000)",Drama,0,0,0,1,0
Gone Fishin' (1997),Comedy,2,0,0,0,0
Gonzo: The Life and Work of Dr. Hunter S. Thompson (2008),Documentary,0,0,0,2,0
Good Copy Bad Copy (2007),Documentary,0,0,0,1,0
"Good Earth, The (1937)",Drama,0,0,0,2,0
"Good Mother, The (1988)",Drama,0,0,0,1,0
"Goods: Live Hard, Sell Hard, The (2009)",Comedy,0,0,1,2,1
Goon: Last of the Enforcers (2017),Comedy,0,0,0,1,0
Gorillas in the Mist (1988),Drama,0,0,2,5,1
"Gospel According to St. Matthew, The (Vangelo secondo Matteo, Il) (1964)",Drama,0,0,0,1,0
Gotcha! (1985),Comedy,0,0,1,0,0
Grandma's Boy (2006),Comedy,1,1,4,1,0
"Grapes of Wrath, The (1940)",Drama,0,0,0,6,3
Grass (1999),Documentary,0,0,1,2,0
Grave Encounters (2011),Horror,0,1,0,2,0
Great Balls of Fire! (1989),Drama,0,1,1,0,0
"Great Buck Howard, The (2008)",Comedy,0,0,0,1,0
"Great Day in Harlem, A (1994)",Documentary,0,0,0,1,0
Great Expectations (1946),Drama,0,0,0,1,0
"Great Gatsby, The (1974)",Drama,0,0,1,0,0
"Great Gatsby, The (2013)",Drama,0,1,9,6,4
"Great Outdoors, The (1988)",Comedy,0,2,1,1,1
"Great Santini, The (1979)",Drama,0,0,1,2,0
"Great White Hype, The (1996)",Comedy,1,0,4,0,0
"Greatest Game Ever Played, The (2005)",Drama,0,0,2,3,0
"Greatest Story Ever Told, The (1965)",Drama,0,0,1,0,0
Greed (1924),Drama,0,0,0,1,0
Greedy (1994),Comedy,0,0,1,0,0
Grey Gardens (1975),Documentary,0,0,0,1,0
"Grey Zone, The (2001)",Drama,0,0,1,1,0
Gridiron Gang (2006),Drama,0,0,2,0,0
Gridlock'd (1997),Crime,0,0,2,2,0
Grizzly Man (2005),Documentary,0,0,0,5,0
Groove (2000),Drama,0,0,0,2,0
Grown Ups (2010),Comedy,0,1,3,4,2
Grown Ups 2 (2013),Comedy,0,1,1,1,2
Grudge Match (2013),Comedy,0,1,0,1,0
Grumpy Old Men (1993),Comedy,3,1,10,11,4
Guerrilla: The Taking of Patty Hearst (2004),Documentary,0,0,0,1,0
Guess Who's Coming to Dinner (1967),Drama,0,0,1,2,8
"Guest, The (2014)",Thriller,0,0,0,1,0
"Guilt Trip, The (2012)",Comedy,0,1,1,1,0
Gummo (1997),Drama,0,0,2,1,0
Gun Shy (2000),Comedy,1,0,0,0,0
Guyver: Dark Hero (1994),Sci-Fi,0,1,0,0,0
Gypsy (1962),Musical,1,0,0,0,0
Hachiko: A Dog's Story (a.k.a. Hachi: A Dog's Tale) (2009),Drama,0,1,0,0,1
Haiku Tunnel (2001),Comedy,0,1,2,1,0
"Hail, Caesar! (2016)",Comedy,0,3,2,3,0
Half Baked (1998),Comedy,0,2,3,8,3
Half Nelson (2006),Drama,0,0,1,3,1
Hall Pass (2011),Comedy,0,0,3,1,0
Halloween (1978),Horror,0,2,10,7,8
Halloween (2007),Horror,0,0,2,2,0
Halloween 4: The Return of Michael Myers (1988),Horror,0,1,0,0,0
Halloween 5: The Revenge of Michael Myers (1989),Horror,1,1,0,0,0
Halloween II (1981),Horror,0,3,2,0,0
Halloween III: Season of the Witch (1982),Horror,0,2,1,0,0
Hamlet (1948),Drama,0,0,1,1,0
Hamlet (1964),Drama,0,0,0,1,0
Hamlet (1990),Drama,0,0,1,3,1
Hamlet 2 (2008),Comedy,0,1,0,0,0
Hands Over the City (Le mani sulla città) (1963),Drama,0,0,0,0,1
"Hangover Part II, The (2011)",Comedy,1,1,3,9,1
"Hangover Part III, The (2013)",Comedy,0,0,3,4,1
Happy Gilmore (1996),Comedy,3,10,30,39,17
Happy Go Lovely (1951),Musical,0,0,0,0,1
Happy People: A Year in the Taiga (2010),Documentary,0,0,0,0,1
"Happy, Texas (1999)",Comedy,0,0,1,1,1
Harakiri (Seppuku) (1962),Drama,0,0,0,1,2
Hardball (2001),Drama,0,1,1,1,0
Harlan County U.S.A. (1976),Documentary,0,0,0,0,1
"Harmonists, The (1997)",Drama,0,0,0,1,0
Harrison's Flowers (2000),Drama,0,0,1,0,0
Haunted Honeymoon (1986),Comedy,1,3,0,0,0
"Haunted World of Edward D. Wood Jr., The (1996)",Documentary,0,0,0,1,0
Hawks and Sparrows (Uccellacci e Uccellini) (1966),Comedy,0,0,0,1,0
He Got Game (1998),Drama,0,1,3,3,0
Head On (1998),Drama,1,0,0,0,0
Head of State (2003),Comedy,1,0,0,1,0
Hear My Song (1991),Comedy,0,0,1,0,0
Heart Condition (1990),Comedy,0,0,1,1,0
Hearts and Minds (1996),Drama,0,0,0,1,0
Hearts in Atlantis (2001),Drama,1,0,3,2,0
Hearts of Darkness: A Filmmakers Apocalypse (1991),Documentary,0,0,0,5,0
Heathers (1989),Comedy,2,0,12,16,11
Heaven (2002),Drama,0,0,0,2,0
Heaven Can Wait (1978),Comedy,0,1,7,5,0
Hedgehog in the Fog (1975),Animation,0,0,0,0,1
Heidi Fleiss: Hollywood Madam (1995),Documentary,0,0,0,0,2
Heima (2007),Documentary,0,0,0,2,1
Hell Night (1981),Horror,0,2,0,0,0
Hellbound: Hellraiser II (1988),Horror,1,1,3,2,2
Hello Again (1987),Comedy,0,0,1,0,0
Hello Ladies: The Movie (2014),Comedy,0,0,1,0,0
Hellraiser (1987),Horror,1,1,5,6,2
Hellraiser III: Hell on Earth (1992),Horror,0,0,1,0,0
Hellsinki (Rööperi) (2009),Crime,0,0,1,0,0
"Help, The (2011)",Drama,0,0,3,14,4
Helvetica (2007),Documentary,0,0,2,2,0
Henry & June (1990),Drama,0,0,0,1,0
Hesher (2010),Drama,0,0,0,1,0
Hidden Figures (2016),Drama,0,1,1,6,2
Hideaway (1995),Thriller,0,2,2,0,0
Hideous Kinky (1998),Drama,0,0,1,0,0
Hiding Out (1987),Comedy,0,1,0,0,0
High Crimes (2002),Thriller,0,0,1,1,0
High Plains Drifter (1973),Western,0,0,1,7,3
High School (2010),Comedy,0,0,0,0,1
High School High (1996),Comedy,2,2,1,1,0
High Spirits (1988),Comedy,0,1,0,0,0
Higher Learning (1995),Drama,0,3,6,0,0
Highway 61 (1991),Comedy,0,0,1,1,0
Hilary and Jackie (1998),Drama,0,0,0,3,0
"Hills Have Eyes, The (1977)",Horror,0,0,0,2,0
Hitchcock (2012),Drama,0,0,1,4,0
Hitchcock/Truffaut (2015),Documentary,0,0,0,1,0
Holiday (Jour de fête) (1949),Comedy,0,0,1,0,0
"Hollywood Knights, The (1980)",Comedy,0,1,0,0,0
Hollywood Shuffle (1987),Comedy,0,0,0,0,1
Holy Man (1998),Comedy,0,2,4,0,0
"Holy Mountain, The (Montaña sagrada, La) (1973)",Drama,0,0,0,1,1
Hombre (1967),Western,0,0,1,0,0
Home (2009),Documentary,0,0,0,1,1
Home for the Holidays (1995),Drama,0,1,6,0,1
Hommage à Zgougou (et salut à Sabine Mamou) (2002),Documentary,1,0,0,0,0
Honey (Miele) (2013),Drama,0,0,0,1,0
Honeymoon (2014),Horror,0,0,0,1,0
Hoop Dreams (1994),Documentary,0,0,5,9,15
Hope and Glory (1987),Drama,0,0,0,2,1
Hopscotch (1980),Comedy,0,0,0,3,0
Horror of Dracula (Dracula) (1958),Horror,0,0,1,0,0
Horse Feathers (1932),Comedy,0,0,0,1,1
Hostel (2005),Horror,2,1,5,2,1
"Hot Chick, The (2002)",Comedy,0,1,4,1,0
Hot Dog... The Movie (1984),Comedy,0,1,0,0,0
Hot Girls Wanted (2015),Documentary,0,0,1,0,0
Hot Rod (2007),Comedy,0,2,1,3,1
Hotel Chevalier (Part 1 of 'The Darjeeling Limited') (2007),Drama,0,0,0,1,0
Houdini (2014),Drama,0,1,0,0,0
"House Bunny, The (2008)",Comedy,1,3,3,3,0
House Party (1990),Comedy,1,0,1,0,0
House Party 3 (1994),Comedy,1,0,0,0,0
House of 1000 Corpses (2003),Horror,1,1,3,1,1
House of Cards (1993),Drama,0,1,0,0,0
"House of Mirth, The (2000)",Romance,1,0,2,0,0
House of Sand and Fog (2003),Drama,0,0,2,5,2
Houseguest (1994),Comedy,0,4,7,4,2
How High (2001),Comedy,1,3,0,4,1
How To Change The World (2015),Documentary,0,0,0,0,1
How to Lose Friends & Alienate People (2008),Comedy,1,1,1,2,1
Howards End (1992),Drama,0,0,3,5,4
Howl (2010),Drama,0,0,0,1,0
Howling II: Your Sister Is a Werewolf (1985),Horror,0,1,0,0,0
"Hudsucker Proxy, The (1994)",Comedy,2,3,13,11,11
Hulk Vs. (2009),Animation,0,0,1,0,0
Human (2015),Documentary,0,0,0,0,1
"Human Centipede, The (First Sequence) (2009)",Horror,1,0,0,0,0
Human Planet (2011),Documentary,0,0,0,1,0
Human Traffic (1999),Comedy,0,0,1,1,0
Humpday (2009),Comedy,0,0,1,0,0
"Hunchback of Notre Dame, The (1939)",Drama,0,0,1,0,1
Hunger (2008),Drama,0,0,0,0,2
"Hunt, The (Jagten) (2012)",Drama,0,0,0,6,4
"Hunted, The (1995)",Action,0,0,2,1,0
"Hunting of the President, The (2004)",Documentary,0,0,1,0,0
Hurlyburly (1998),Drama,0,0,0,1,0
Hurricane Streets (1997),Drama,0,0,0,1,0
"Hurricane, The (1999)",Drama,0,1,5,8,2
Hush (1998),Thriller,1,0,1,0,0
Hush (2016),Thriller,1,0,1,0,1
Hustler White (1996),Romance,0,0,0,1,0
"Hustler, The (1961)",Drama,0,0,2,5,11
Hype! (1996),Documentary,0,0,0,0,1
HyperNormalisation (2016),Documentary,0,0,0,1,1
I Am David (2003),Drama,0,0,3,0,0
I Am Not Your Negro (2017),Documentary,0,0,0,0,1
I Am Sam (2001),Drama,1,0,2,9,5
I Am Trying to Break Your Heart (2002),Documentary,0,0,0,2,1
I Confess (1953),Thriller,0,0,0,2,0
I Don't Know How She Does It (2011),Comedy,0,1,0,0,0
I Heart Huckabees (2004),Comedy,1,2,3,10,5
I Killed My Mother (J'ai tué ma mère) (2009),Drama,0,0,1,1,0
"I Love You, Man (2009)",Comedy,0,1,4,11,1
I Never Promised You a Rose Garden (1977),Drama,0,1,0,0,0
I Saw What You Did (1965),Thriller,0,0,1,0,0
I Shot Andy Warhol (1996),Drama,0,0,2,2,0
I'm Here (2010),Drama,0,0,0,1,0
I'm Not There (2007),Drama,0,0,1,1,0
I'm Starting From Three (Ricomincio da Tre) (1981),Comedy,0,0,0,0,1
I'm the One That I Want (2000),Comedy,0,0,0,0,1
"I, Tonya (2017)",Drama,0,0,2,1,0
I.O.U.S.A. (a.k.a. IOUSA) (2008),Documentary,0,0,0,1,0
Icarus (2017),Documentary,0,0,0,1,0
Ice Castles (1978),Drama,0,1,1,0,0
Ice Guardians (2016),Documentary,0,0,0,0,1
"Ice Storm, The (1997)",Drama,0,1,5,5,6
Idaho Transfer (1973),Sci-Fi,1,0,0,0,0
"Ides of March, The (2011)",Drama,0,1,3,5,0
If I Stay (2014),Drama,0,1,0,0,0
If I Were a Rich Man (2002),Comedy,0,0,1,0,0
If These Walls Could Talk (1996),Drama,0,0,1,0,0
Ikiru (1952),Drama,1,0,0,4,1
Iliza Shlesinger: Freezing Hot (2015),Comedy,0,0,0,2,0
"Illusionist, The (L'illusionniste) (2010)",Animation,0,1,1,1,0
"Ilsa, She Wolf of the SS (1974)",Horror,0,1,0,0,0
"Immature, The (Immaturi) (2011)",Comedy,0,0,0,1,0
"Immigrant, The (1917)",Comedy,0,0,0,0,1
"Imposter, The (2012)",Documentary,0,0,0,0,2
"Impostors, The (1998)",Comedy,0,0,0,1,1
In & Out (1997),Comedy,4,5,8,9,0
"In Crowd, The (2000)",Thriller,1,0,1,1,0
In My Father's Den (2004),Drama,0,0,0,1,0
In a Better World (Hævnen) (2010),Drama,0,0,0,1,0
In a World... (2013),Comedy,0,0,0,1,1
In the Bedroom (2001),Drama,1,2,2,5,0
In the Loop (2009),Comedy,0,0,0,3,2
In the Name of the Father (1993),Drama,0,0,2,12,11
In the Realm of the Senses (Ai no corrida) (1976),Drama,0,0,0,0,1
"In-Laws, The (2003)",Comedy,0,1,2,0,0
"Inbetweeners 2, The (2014)",Comedy,0,0,0,2,0
"Inconvenient Truth, An (2006)",Documentary,0,0,5,6,2
"Incredible Burt Wonderstone, The (2013)",Comedy,0,0,3,0,0
Indie Game: The Movie (2012),Documentary,0,0,2,0,0
Indignation (2016),Drama,0,0,0,0,1
Infamous (2006),Drama,0,0,0,2,0
Inferno (1980),Horror,0,1,0,1,0
Infinity (1996),Drama,0,0,1,0,0
Inherit the Wind (1960),Drama,0,0,1,3,2
Inside Job (2010),Documentary,0,1,0,4,7
Inside Llewyn Davis (2013),Drama,0,1,1,3,2
"Inspector General, The (1949)",Musical,0,0,1,0,0
Intact (Intacto) (2001),Thriller,0,0,0,1,1
Interiors (1978),Drama,0,0,0,2,1
"Internet's Own Boy: The Story of Aaron Swartz, The (2014)",Documentary,0,0,0,0,1
"Internship, The (2013)",Comedy,1,0,1,7,1
Interview (2007),Drama,0,0,1,0,0
Intimate Strangers (Confidences trop intimes) (2004),Drama,0,0,1,0,1
Into Eternity (2010),Documentary,0,0,0,1,0
Into the Abyss (2011),Documentary,0,0,0,0,1
Into the Arms of Strangers: Stories of the Kindertransport (2000),Documentary,0,0,1,0,0
Intolerance: Love's Struggle Throughout the Ages (1916),Drama,0,0,0,1,0
"Invention of Lying, The (2009)",Comedy,2,1,1,1,1
Investigation Held by Kolobki (1986),Animation,0,0,0,0,1
Invictus (2009),Drama,0,0,2,4,1
Invincible (2001),Drama,0,0,0,1,0
Invincible (2006),Drama,1,0,2,4,0
"Invincible Iron Man, The (2007)",Animation,0,0,1,0,0
Invincible Shaolin (1978),Action,0,0,0,1,0
Ip Man 2 (2010),Action,1,0,1,2,1
Ip Man 3 (2015),Action,0,0,0,1,0
"Ipcress File, The (1965)",Thriller,0,0,0,1,0
Iris (2001),Drama,0,0,1,2,1
Irma la Douce (1963),Comedy,0,0,2,1,1
"Iron Lady, The (2011)",Drama,0,0,1,0,0
Iron Man (1931),Drama,1,0,0,0,0
Iron Will (1994),Adventure,0,0,1,1,0
Ishtar (1987),Comedy,0,1,0,0,0
It (2017),Horror,1,0,3,4,1
It Came from Outer Space (1953),Sci-Fi,0,0,1,0,0
It Can't Be! (1975),Comedy,0,0,0,0,1
It Follows (2014),Horror,0,0,1,1,2
It Might Get Loud (2008),Documentary,0,0,1,0,1
It's My Party (1996),Drama,0,0,1,0,1
It's Pat (1994),Comedy,2,1,0,0,0
J. Edgar (2011),Drama,0,0,1,0,0
Jack Whitehall: At Large (2017),Comedy,0,0,0,2,0
Jack and Jill (2011),Comedy,1,2,0,2,0
Jack and Sarah (1995),Romance,0,0,1,0,0
Jackass Presents: Bad Grandpa (2013),Comedy,0,0,1,1,0
Jade (1995),Thriller,0,2,3,1,0
Jakob the Liar (1999),Drama,1,1,2,0,0
Jamaica Inn (1939),Drama,0,0,1,0,0
Jane Eyre (1970),Drama,0,0,0,1,0
Japanese Story (2003),Drama,0,0,1,0,0
Jason Bourne (2016),Action,0,4,3,1,1
Jawbreaker (1999),Comedy,2,3,1,1,0
Jeepers Creepers (2001),Horror,1,2,2,2,0
Jeff Dunham: All Over the Map (2014),Comedy,0,1,0,0,0
Jeff Ross Roasts the Border (2017),Comedy,0,0,0,1,0
Jefferson in Paris (1995),Drama,0,0,1,0,0
Jeremiah Johnson (1972),Western,0,0,1,1,2
"Jerk, The (1979)",Comedy,0,3,11,10,3
"Jerky Boys, The (1995)",Comedy,3,2,1,0,1
Jesus of Montreal (Jésus de Montréal) (1989),Drama,0,0,0,0,1
Jesus' Son (1999),Drama,0,0,1,1,0
Jezebel (1938),Drama,0,0,1,1,1
Jim & Andy: The Great Beyond (2017),Documentary,0,0,0,0,1
Jim Gaffigan: Cinco (2017),Comedy,0,0,1,0,0
Jim Jefferies: BARE (2014),Comedy,0,0,0,0,1
Jim Jefferies: Freedumb (2016),Comedy,0,0,0,0,1
Jim Jefferies: Fully Functional (EPIX) (2012),Comedy,0,0,0,0,1
Jim Jefferies: I Swear to God (2009),Comedy,0,0,0,0,1
Jim Norton: American Degenerate (2013),Comedy,0,0,0,1,0
Jimi: All Is by My Side (2013),Drama,0,0,0,1,0
Jimmy Carr: Making People Laugh (2010),Comedy,0,0,1,0,0
Jimmy Carr: Telling Jokes (2009),Comedy,0,0,0,1,0
Jiro Dreams of Sushi (2011),Documentary,0,0,1,1,3
Jobs (2013),Drama,0,2,0,1,0
Joe Dirt 2: Beautiful Loser (2015),Comedy,1,0,0,0,0
Joe Gould's Secret (2000),Drama,0,0,1,0,0
Joe Rogan: Live (2006),Comedy,0,0,0,1,0
Joe Rogan: Triggered (2016),Comedy,0,0,0,1,0
John Adams (2008),Drama,0,0,0,2,0
John From (2015),Drama,1,0,0,0,0
John Mulaney: New In Town (2012),Comedy,0,0,0,1,0
John Mulaney: The Comeback Kid (2015),Comedy,0,0,0,1,0
Johnny Be Good (1988),Comedy,0,1,0,1,0
Johnny Belinda (1948),Drama,0,0,0,1,0
Johnny Dangerously (1984),Comedy,0,3,1,3,0
Johnny Stecchino (1991),Comedy,0,0,0,1,0
"Jolson Story, The (1946)",Musical,0,0,0,1,0
Jon Stewart Has Left the Building (2015),Documentary,0,0,0,1,0
Jonah Who Will Be 25 in the Year 2000 (Jonas qui aura 25 ans en l'an 2000) (1976),Comedy,0,0,0,0,2
Jonestown: The Life and Death of Peoples Temple (2006),Documentary,0,0,1,2,1
Josie and the Pussycats (2001),Comedy,4,0,0,2,0
Journeys with George (2002),Documentary,0,0,0,1,0
Ju Dou (1990),Drama,0,0,0,1,0
Ju-on: The Curse (2000),Horror,0,0,1,0,0
Ju-on: The Grudge (2002),Horror,0,2,4,0,0
Jubilee (1977),Drama,0,0,1,0,0
Judd Apatow: The Return (2017),Comedy,0,0,1,0,0
Jude (1996),Drama,0,1,4,2,0
"Judge, The (2014)",Drama,0,0,1,0,0
Judgment at Nuremberg (1961),Drama,0,0,2,2,1
Julia (1977),Drama,0,0,0,1,0
Julien Donkey-Boy (1999),Drama,1,0,0,0,0
Jupiter's Wife (1994),Documentary,0,0,1,0,0
Jury Duty (1995),Comedy,2,3,2,1,2
Just Eat It: A Food Waste Story (2014),Documentary,0,0,0,1,0
Just Jim (2015),Comedy,0,0,1,0,0
Just One of the Guys (1985),Comedy,0,2,1,1,0
Juwanna Mann (2002),Comedy,1,1,0,0,0
Kama Sutra: A Tale of Love (1996),Romance,0,0,0,1,0
Kandahar (Safar e Ghandehar) (2001),Drama,0,0,0,2,0
"Karate Kid, The (1984)",Drama,0,3,11,18,6
Keanu (2016),Comedy,0,1,0,1,0
Keep the River on Your Right: A Modern Cannibal Tale (2000),Documentary,0,0,0,1,0
Keeping Up with the Joneses (2016),Comedy,0,0,0,2,0
Ken Park (2002),Drama,0,0,0,0,1
"Kentucky Fried Movie, The (1977)",Comedy,0,0,2,0,1
Kevin Hart: I'm a Grown Little Man (2009),Comedy,0,0,0,0,1
Kevin Smith: Too Fat For 40 (2010),Comedy,0,0,0,0,1
"Keys to the House, The (Chiavi di casa, Le) (2004)",Drama,0,0,1,0,0
Kickboxer (1989),Action,0,0,1,0,0
Kickin It Old Skool (2007),Comedy,0,1,0,0,0
Kicking & Screaming (2005),Comedy,1,1,3,2,0
Kicking Off (2016),Comedy,0,1,0,0,0
"Kid Stays in the Picture, The (2002)",Documentary,0,0,0,2,1
Kids (1995),Drama,0,0,4,9,7
Kids in the Hall: Brain Candy (1996),Comedy,1,1,4,4,2
Kill Me Three Times (2014),Thriller,0,0,1,0,0
King Ralph (1991),Comedy,0,1,0,0,0
King of California (2007),Comedy,0,0,1,0,0
King of Kings (1961),Drama,0,0,1,0,0
"King of Kong, The (2007)",Documentary,0,0,2,7,3
"King of Masks, The (Bian Lian) (1996)",Drama,0,0,0,1,0
"King's Speech, The (2010)",Drama,0,0,7,31,20
Kingpin (1996),Comedy,0,5,16,15,6
"Kings of Summer, The (2013)",Comedy,0,0,1,1,0
Kinsey (2004),Drama,1,1,1,5,0
Kiss Me Deadly (1955),Film-Noir,0,0,1,0,1
Kiss Me Goodbye (1982),Comedy,0,0,0,1,0
"Kiss Me, Guido (1997)",Comedy,0,0,2,0,0
"Kiss Me, Stupid (1964)",Comedy,0,0,0,1,0
Kiss of the Dragon (2001),Action,0,0,1,7,1
Kiss of the Spider Woman (1985),Drama,0,0,1,2,1
"Kite Runner, The (2007)",Drama,0,0,1,2,0
Knife in the Water (Nóz w wodzie) (1962),Drama,0,0,0,2,0
Knock Off (1998),Action,0,0,0,0,1
Koyaanisqatsi (a.k.a. Koyaanisqatsi: Life Out of Balance) (1983),Documentary,0,0,3,5,3
Kramer vs. Kramer (1979),Drama,0,0,2,9,3
"Krays, The (1990)",Drama,0,0,0,1,0
Krippendorf's Tribe (1998),Comedy,0,4,2,1,0
Kundun (1997),Drama,0,1,1,2,0
Kurt & Courtney (1998),Documentary,0,0,0,3,0
Kurt Cobain: Montage of Heck (2015),Documentary,0,0,1,0,0
Kwaidan (Kaidan) (1964),Horror,1,0,0,0,1
L.I.E. (2001),Drama,0,0,0,2,1
LBJ (2017),Drama,0,0,0,1,0
LEGO DC Super Hero Girls: Brain Drain (2017),Animation,0,0,0,1,0
La Belle Verte (1996),Comedy,0,0,0,0,1
La vérité si je mens ! (1997),Comedy,0,0,0,1,0
"Ladies Man, The (2000)",Comedy,3,2,1,0,0
Lady Bird (2017),Comedy,0,0,2,0,1
Ladybird Ladybird (1994),Drama,0,0,0,1,0
Ladybugs (1992),Comedy,0,1,1,1,0
Lammbock (2001),Comedy,0,0,0,0,1
Land of Plenty (Angst and Alienation in America) (2004),Drama,0,0,0,1,0
Larger Than Life (1996),Comedy,0,2,2,1,0
Larry David: Curb Your Enthusiasm (1999),Comedy,0,0,0,0,1
"Last Castle, The (2001)",Action,1,1,4,2,0
Last Dance (1996),Drama,0,0,1,0,0
Last Days (2005),Drama,0,1,0,1,0
"Last Days, The (1998)",Documentary,0,0,0,2,0
"Last Emperor, The (1987)",Drama,1,0,7,14,4
Last Exit to Brooklyn (1989),Drama,0,0,0,1,0
Last Holiday (2006),Comedy,0,0,1,2,0
"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",Documentary,0,0,0,1,0
Last Orders (2001),Drama,0,0,1,0,0
"Last Picture Show, The (1971)",Drama,0,0,0,4,4
Last Shift (2014),Horror,0,0,0,1,0
"Last Temptation of Christ, The (1988)",Drama,0,0,2,5,1
"Last Waltz, The (1978)",Documentary,0,0,0,0,1
"Last Winter, The (2006)",Horror,0,0,0,1,0
Late Night Shopping (2001),Comedy,0,0,0,0,1
Late Night with Conan O'Brien: The Best of Triumph the Insult Comic Dog (2004),Comedy,0,1,0,0,0
"Late Shift, The (1996)",Comedy,0,0,1,0,0
Laurel Canyon (2002),Drama,0,0,3,0,0
Le Maître d'école (1981),Comedy,0,0,0,1,0
"League of Ordinary Gentlemen, A (2004)",Documentary,0,0,0,1,0
Lean on Me (1989),Drama,0,0,2,3,1
Leave It to Beaver (1997),Comedy,1,3,0,0,0
Lee Daniels' The Butler (2013),Drama,0,1,0,0,0
"Legally Blonde 2: Red, White & Blonde (2003)",Comedy,2,2,5,2,0
Legend No. 17 (2013),Drama,0,0,0,0,1
"Legend of 1900, The (a.k.a. The Legend of the Pianist on the Ocean) (Leggenda del pianista sull'oceano) (1998)",Drama,0,0,1,1,1
"Legend of Rita, The (Stille nach dem Schuß, Die) (1999)",Drama,0,0,1,0,0
Lenny (1974),Drama,0,0,0,2,0
Less Than Zero (1987),Drama,0,0,2,2,0
Let It Ride (1989),Comedy,0,1,0,0,1
Let's Go to Prison (2006),Comedy,2,0,1,0,0
Leviathan (2014),Drama,0,1,0,0,0
Levity (2003),Drama,0,0,0,1,0
Liam (2000),Drama,0,2,0,0,0
Liar Liar (1997),Comedy,3,11,31,23,6
"Libertine, The (2004)",Drama,0,0,0,1,0
Liberty Heights (1999),Drama,0,0,0,2,0
Libre et assoupi (2014),Comedy,0,0,1,0,0
License to Drive (1988),Comedy,0,1,2,0,0
Life Is a Long Quiet River (La vie est un long fleuve tranquille) (1988),Comedy,0,0,0,1,0
Life Stinks (1991),Comedy,0,2,0,0,0
Life and Debt (2001),Documentary,0,0,0,1,0
Life as a House (2001),Drama,0,1,1,4,3
"Life of Emile Zola, The (1937)",Drama,0,0,1,0,0
Life with Father (1947),Comedy,0,0,0,1,0
Life with Mikey (1993),Comedy,0,1,1,1,0
Lightning in a Bottle (2004),Documentary,0,0,0,1,0
